QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MAJAPPLY,MAJA_PLY,GFTC_MAJ,GFTC0MAJ,MAJ_MO,MAJ_MO_,MAJPURX,MAJPURX_,MAJRENTX,MAJR_NTX,MAJINSTX,MAJI_STX,MJAPPL1,MJAPPL1_,MJAPPL2,MJAPPL2_,MJAPPL3,MJAPPL3_,MJAPPL4,MJAPPL4_,MJAPPL5,MJAPPL5_,MJAPPL6,MJAPPL6_,MJAPPL7,MJAPPL7_,MJAPPL8,MJAPPL8_,MJAPPL9,MJAPPL9_
20184,04011961,1,0,1,160,D,1,D,09,D,650,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04011971,1,0,1,120,D,1,D,08,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04011971,2,0,1,140,D,1,D,08,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04011971,3,0,1,160,D,1,D,08,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04012141,1,0,1,120,D,1,D,08,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04012391,1,0,1,120,D,1,D,07,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04012521,1,0,1,140,D,1,D,09,D,527,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04012651,1,0,1,160,D,1,D,09,D,479,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04012731,1,0,1,210,D,1,D,07,D,161,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04013073,1,0,1,140,D,1,D,07,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04013073,2,0,1,195,D,1,D,07,D,225,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04013151,1,0,1,140,D,1,D,08,D,1100,D,,A,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04013611,1,0,1,195,D,1,D,08,D,579,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04013931,1,0,1,140,D,1,D,07,D,2200,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04014401,1,0,1,160,D,1,D,07,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04014451,1,0,1,195,D,1,D,07,D,1300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04014481,1,0,1,100,D,1,D,08,D,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04014581,1,0,1,195,D,1,D,07,D,1000,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04014621,1,0,1,195,D,1,D,07,D,912,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04014821,1,0,1,195,D,1,D,09,D,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04015001,1,0,1,195,D,1,D,09,D,1023,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04015071,1,0,1,120,D,1,D,08,D,42,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04015401,1,0,1,195,D,1,D,07,D,550,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04015691,1,0,1,120,D,1,D,08,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04016411,1,0,1,160,D,1,D,08,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04016561,1,0,1,195,D,1,D,07,D,1075,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04016681,1,0,1,195,D,1,D,07,D,400,D,,A,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04016681,2,0,1,195,D,1,D,07,D,400,D,,A,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04016771,1,0,1,120,D,1,D,08,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04016811,1,0,1,120,D,1,D,08,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04017261,1,0,1,120,D,1,D,09,D,74,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04027651,1,0,1,140,D,1,D,08,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04028011,1,0,1,120,D,1,D,10,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04028191,1,0,1,195,D,1,D,08,D,498,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04028191,2,0,1,120,D,1,D,10,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04028281,1,0,1,195,D,1,D,09,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04028371,1,0,1,140,D,1,D,10,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04028481,1,0,1,180,D,1,D,08,D,89,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04028511,1,0,1,120,D,1,D,10,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04028601,1,0,1,120,D,1,D,08,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04028601,2,0,1,100,D,1,D,08,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04028601,3,0,1,210,D,1,D,08,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04028711,1,0,1,195,D,1,D,10,D,864,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04028911,1,0,1,180,D,1,D,08,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04029081,1,0,1,195,D,1,D,08,D,162,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04029491,1,0,1,120,D,1,D,09,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04029491,2,0,1,140,D,1,D,09,D,2500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04029491,3,0,1,195,D,1,D,09,D,350,D,,A,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
