QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPMOA,VOPMOA_,VOPEXPX,VOPEXPX_,VOPRMBXA,VOPR_BXA,QVOPEQPX,QVOP_QPX,VOPSERVY,VOPS_RVY,VOPLABOR,VOPL_BOR,VOPREIMB,VOPR_IMB,VPSRVY1,VPSRVY1_,VPSRVY2,VPSRVY2_,VPSRVY3,VPSRVY3_,VPSRVY4,VPSRVY4_,VPSRVY5,VPSRVY5_,VPSRVY6,VPSRVY6_,VPSRVY7,VPSRVY7_,VPSRVY8,VPSRVY8_,VPSRVY9,VPSRVY9_
20181,03820961,47,0,1,12,D,172,D,,A,172,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820991,33,0,1,10,D,80,D,,A,80,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820991,34,0,1,12,D,80,D,,A,80,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820991,35,0,1,10,D,20,D,,A,20,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03820991,36,0,1,12,D,20,D,,A,20,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821011,21,0,1,12,D,80,D,,A,80,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821061,29,0,1,11,D,40,D,,A,40,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821061,30,0,1,10,D,12,D,,A,12,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821061,31,0,1,11,D,12,D,,A,12,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821061,32,0,1,12,D,12,D,,A,12,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821081,25,0,1,12,D,36,D,,A,36,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821081,26,0,1,11,D,700,D,,A,700,D,140,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821121,25,0,1,12,D,76,D,,A,76,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821121,26,0,1,11,D,75,D,,A,75,D,380,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821121,27,0,1,10,D,39,D,,A,39,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821131,26,0,1,11,D,159,D,,A,159,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821181,45,0,1,12,D,9,D,,A,9,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821201,74,0,1,11,D,138,D,,A,,H,500,D,1,D,2,D,100,D,160,D,110,D,,A,,A,,A,,A,,A,,A
20181,03821201,74,1,1,11,D,,B,,A,20,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821201,74,2,1,11,D,,B,,A,40,E,160,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
