QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,WHATPART,WHAT_ART,TRIPIDBC,TRIP_DBC,NUMSAME,NUMSAME_,EOTRIPMO,EOTR_PMO,NUMNIGHT,NUMN_GHT,FOODDEAL,FOOD_EAL,LODGDEAL,LODG_EAL,TRANDEAL,TRAN_EAL,ELSEDEAL,ELSE_EAL,CMLOCALY,CMLO_ALY,CMPLANEY,CMPL_NEY,CMTRAINY,CMTR_INY,CMBUSY,CMBUSY_,CMSHIPY,CMSHIPY_,RTCARY,RTCARY_,RTMOPEDY,RTMO_EDY,RTBOATY,RTBOATY_,RTCAMPY,RTCAMPY_,RTOTHERY,RTOT_ERY,PVCARY,PVCARY_,PVELSEY,PVELSEY_,PVTRANSY,PVTR_NSY,CMLOCALX,CMLO_ALX,CMPLANEX,CMPL_NEX,CMTRAINX,CMTR_INX,CMBUSX,CMBUSX_,CMSHIPX,CMSHIPX_,RTCARX,RTCARX_,RTMOPEDX,RTMO_EDX,RTBOATX,RTBOATX_,RTCAMPX,RTCAMPX_,RTOTHERX,RTOT_ERX,GASOILX,GASOILX_,TRPTOLLX,TRPT_LLX,PARKINGX,PARK_NGX,LDGCOSTX,LDGC_STX,TRPALCHX,TRPA_CHX,TRPALCGX,TRPA_CGX,TRPSPRTX,TRPS_RTX,TRPETRTX,TRPE_RTX,TRMISCX,TRMISCX_,TRPGFTCX,TRPG_TCX,QTRFLAX,QTRFLAX_,QTRGLAX,QTRGLAX_
20184,04035621,29,0,1,1,D,1,D,1,D,08,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,30,D,20,D
20184,04035621,30,0,1,1,D,2,D,2,D,09,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,160,D,,A,,A,212,D,,A,,A,,A,,A,,A,,A,60,D,,A
20184,04035621,31,0,1,1,D,3,D,1,D,10,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,144,D,,A
20184,04035741,14,0,1,1,D,1,D,1,D,08,D,3,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,136,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,586,D,75,D,,A,,A,,A,,A,,A,75,D,,A
20184,04035741,15,0,1,1,D,2,D,2,D,08,D,3,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,136,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20184,04035741,16,0,1,1,D,3,D,1,D,09,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,20,D,,A,,A,150,D,50,D,,A,,A,,A,,A,,A,0,D,,A
20184,04035741,17,0,1,1,D,4,D,2,D,09,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,40,D,,A,,A,300,D,50,D,,A,,A,,A,,A,,A,0,D,,A
20184,04035741,18,0,1,1,D,5,D,1,D,09,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,30,D,,A,,A,600,D,20,F,,A,,A,,A,,A,,A,30,F,,A
20184,04035741,19,0,1,1,D,6,D,1,D,09,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,,A,10,D,120,D,,A,,A,,A,20,D,,A,,A,,A,,A
20184,04035741,20,0,1,2,D,7,D,1,D,09,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,30,D,10,D,,A,300,D,60,D,,A,,A,,A,,A,,A,0,D,,A
20184,04035741,21,0,1,1,D,8,D,1,D,09,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,25,D,,A,,A,,A,30,D,,A,,A,60,D,,A,,A,0,D,,A
20184,04035741,22,0,1,1,D,9,D,1,D,10,D,11,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,420,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,477,D,150,D,,A,,A,,A,,A,,A,0,D,,A
20184,04035741,23,0,1,2,D,10,D,1,D,10,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,,A,,A,900,D,50,D,,A,,A,300,D,,A,650,D,0,D,,A
20184,04035861,16,0,1,1,D,1,D,1,D,10,D,7,D,,A,,A,,A,,A,01,D,02,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,250,D,270,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,4781,T,,A,,A,,A,50,D,,A,200,D,1500,D,,A
20184,04035881,28,0,1,1,D,1,D,1,D,10,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,,A,,A,700,D,,A,,A,,A,,A,,A,,A,400,D,,A
20184,04035901,21,0,1,1,D,1,D,1,D,09,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,150,D,,A,,A,3000,D,200,D,100,D,,A,30,D,,A,2100,D,1000,D,300,D
20184,04036011,22,0,1,1,D,2,D,1,D,10,D,2,D,2,D,1,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,40,D,,A,,A,99,G,,A,100,D,,A,,A,,A,,A,40,D,0,D
20184,04036041,19,0,1,1,D,1,D,1,D,10,D,56,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,,A,,A,,A,17,D,,A,,A,,A,,A,,A,,A,,A,,A,0,D,,A,200,D,50,D,,A,1400,D,100,D,100,D,,A,300,D,,A,,A,300,D,900,D
20184,04036051,35,0,1,2,D,1,D,1,D,10,D,15,D,,A,,A,,A,,A,01,D,02,D,,A,,A,,A,06,D,,A,,A,,A,,A,,A,,A,,A,27,D,879,D,,A,,A,,A,350,D,,A,,A,,A,,A,66,F,,A,4,F,1457,D,200,F,,A,,A,41,F,100,D,,A,300,F,,A
20184,04036201,37,0,1,1,D,1,D,1,D,08,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,60,D,20,D,3,D,,A,,A,,A,500,D,80,D,250,D,,A,300,D,50,D
20184,04036201,38,0,1,1,D,2,D,1,D,09,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,120,D,20,D,60,D,600,D,,A,,A,,A,100,D,250,D,,A,400,D,55,D
20184,04036321,25,0,1,1,D,1,D,1,D,08,D,8,D,,A,,A,,A,,A,,A,02,D,,A,04,D,05,D,,A,,A,,A,,A,,A,13,D,,A,,A,,A,1000,D,,A,0,D,1800,D,,A,,A,,A,,A,,A,,A,,A,,A,600,D,60,D,,A,,A,,A,200,D,,A,340,D,,A
20184,04036341,51,0,1,1,D,1,D,1,D,10,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,201,D,10,D,,A,679,D,,A,,A,,A,,A,,A,27,D,285,D,,A
20184,04036381,11,0,1,1,D,1,D,1,D,10,D,7,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,75,D,,A,,A,200,D,,A,,A,,A,,A,,A,,A,30,D,,A
20184,04036461,20,0,1,1,D,1,D,1,D,09,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,,A,,A,120,D,,A,,A,,A,,A,,A,,A,50,D,60,D
20184,04036531,38,0,1,1,D,1,D,1,D,09,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,40,D,,A,,A,240,D,,A,,A,,A,14,D,50,D,,A,300,D,,A
20184,04036621,21,0,1,1,D,1,D,1,D,08,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,150,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,200,D,50,D
20184,04036661,58,0,1,1,D,1,D,1,D,08,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,30,D,,A,,A,,A,50,D,,A,,A,,A,,A,200,D,100,D,100,D
20184,04036801,34,0,1,1,D,1,D,1,D,08,D,2,D,,A,,A,,A,,A,,A,,A,,A,04,D,,A,,A,,A,,A,,A,,A,,A,,A,17,D,,A,,A,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,400,D,,A,,A,,A,,A,,A,,A,300,D,,A
20184,04036801,35,0,1,1,D,2,D,1,D,10,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,60,D,12,D,,A,300,D,,A,,A,,A,,A,,A,,A,200,D,,A
20184,04036831,27,0,1,1,D,1,D,1,D,09,D,7,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,06,D,,A,,A,,A,,A,,A,,A,,A,,A,1000,D,,A,,A,,A,400,D,,A,,A,,A,,A,150,D,,A,,A,1200,D,,A,,A,,A,50,D,200,D,400,D,400,D,100,D
20184,04036961,33,0,1,1,D,1,D,1,D,08,D,10,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,06,D,,A,,A,,A,,A,13,D,,A,,A,,A,3000,D,,A,,A,,A,500,D,,A,,A,,A,,A,90,F,,A,,A,,A,,A,,A,500,D,160,D,,A,,A,350,F,80,F
20184,04037012,14,0,1,1,D,1,D,1,D,10,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,250,D,16,D,20,D,1300,D,20,D,,A,,A,,A,,A,,A,280,D,25,D
