QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOG,PROP0NOG,OWNYG,OWNYG_,NEWMRTG,NEWMRTG_,ORGMRTG,ORGMRTG_,QMRTTRMG,QMRT_RMG,MRTPMTG,MRTPMTG_,PAYPRTXG,PAYP_TXG,PAYPRING,PAYP_ING,PAYMRING,PAYM_ING,PAYOTHRG,PAYO_HRG,QESCROWG,QESC_OWG,QPRINM1G,QPRI_M1G,QPRINM2G,QPRI_M2G,QPRINM3G,QPRI_M3G,QADINT1G,QADI_T1G,QADINT2G,QADI_T2G,QADINT3G,QADI_T3G,QRFINDTG,QRFI_DTG,FRSTPYMG,FRST_YMG,FRSTPYRG,FRST_YRG,FIXDRTEG,FIXD_TEG,QNEWDATG,QNEW_ATG,QBLNCM1G,QBLN_M1G,QBLNCM2G,QBLN_M2G,QBLNCM3G,QBLN_M3G,LOAN_NOG,LOAN0NOG,VARRTEG,VARRTEG_,INTONLYG,INTO_LYG,OTHRTEG,OTHRTEG_,PAYMT1G,PAYMT1G_,PAYMT2G,PAYMT2G_,PAYMT3G,PAYMT3G_,PAYPRNPG,PAYP_NPG,PAYINTG,PAYINTG_
20191,04039952,22,0,5,01,D,100,D,.0500,D,226250,T,15,D,3363,T,,A,,A,,A,,A,0,D,871,D,874,D,878,D,136,D,133,D,129,D,,A,11,D,2006,D,2,D,,A,64261,D,62552,D,60836,D,01,D,1,D,,A,,A,1007,D,1007,D,1007,D,1,D,2,D
20191,04040512,22,0,5,01,D,100,D,.0475,D,48889,D,5,D,917,D,,A,,A,,A,,A,0,D,777,D,780,D,783,D,140,D,137,D,134,D,,A,06,D,2017,D,1,D,,A,35419,D,34642,D,33862,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04040622,27,0,5,01,D,100,D,.0425,D,75000,D,20,D,535,D,,B,,B,,B,,B,71,D,210,D,211,D,211,D,254,D,253,D,253,D,,A,08,D,2017,D,1,D,,A,71740,D,71530,D,71320,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04040872,28,0,5,01,D,100,D,.0440,D,62643,D,5,D,1165,D,3,D,,A,,A,,A,0,D,1197,T,1202,T,1211,T,117,D,113,D,110,D,,A,05,D,2016,D,1,D,,A,31996,D,30948,D,29897,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04042962,7,0,1,01,D,100,D,.0500,F,64398,F,20,F,425,F,,A,,A,,A,,A,0,F,341,F,342,F,344,F,84,F,83,F,81,F,,A,04,F,2003,F,1,F,,A,20173,F,19832,F,19490,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04045922,43,0,5,01,D,100,D,.0440,D,67316,D,15,D,666,D,3,D,4,D,,A,,A,154,D,299,D,300,D,301,D,213,D,212,D,211,D,,A,03,D,2016,D,1,D,,A,58032,D,57733,D,57432,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04046622,17,0,5,01,D,100,D,.0449,D,14539,D,15,D,220,D,,B,,B,,B,,B,109,D,,A,,A,57,D,,A,,A,54,D,,A,02,D,2019,D,1,D,022019,D,,A,,A,14539,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04046622,31,0,5,01,D,100,D,.0460,D,15000,D,15,D,116,D,,A,,A,,A,,A,0,D,,A,,A,,A,,A,,A,,A,022019,D,06,D,2015,D,2,D,,A,12362,D,12294,D,12225,D,01,D,,A,2,D,,A,,A,,A,,A,1,D,2,D
20191,04070461,35,0,1,01,D,100,D,.0475,D,76132,D,5,D,1428,D,,A,,A,,A,,A,0,D,1197,T,1202,T,1211,T,279,D,274,D,270,D,,A,05,D,2018,D,1,D,,A,70454,D,69305,D,68151,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04076071,24,0,1,01,D,100,D,.0400,D,13000,D,5,D,250,D,,B,,B,,B,,B,11,D,198,D,199,D,200,D,41,D,40,D,39,D,,A,06,D,2018,D,1,D,,A,12213,D,12015,D,11816,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,04076661,17,0,1,01,D,100,D,.0399,D,90000,D,30,F,429,F,,A,,A,,A,,A,0,F,221,F,222,F,222,F,208,F,207,F,207,F,,A,06,F,2005,F,1,D,,A,62398,F,62176,F,61954,F,01,D,,A,,A,,A,,A,,A,,A,,C,,A
20191,04077271,23,0,1,01,D,100,D,.0440,D,53705,D,10,D,554,D,3,D,4,D,,A,,A,0,D,388,D,390,D,391,D,166,D,164,D,163,D,,A,11,D,2016,D,1,D,,A,45152,D,44764,D,44374,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
