QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOF,PROP0NOF,OWNYF,OWNYF_,NEWMRRT,NEWMRRT_,ORGMRTX,ORGMRTX_,QMRTTERM,QMRT_ERM,MRTPMTX,MRTPMTX_,PAYPROTX,PAYP_OTX,PAYPROIN,PAYP_OIN,PAYMORIN,PAYM_RIN,PAYOTHER,PAYO_HER,QESCROWX,QESC_OWX,QPRINM1X,QPRI_M1X,QPRINM2X,QPRI_M2X,QPRINM3X,QPRI_M3X,QADINT1X,QADI_T1X,QADINT2X,QADI_T2X,QADINT3X,QADI_T3X,QRFINDAT,QRFI_DAT,FRSTPYMO,FRST_YMO,FRSTPYYR,FRST_YYR,FIXEDRTE,FIXE_RTE,QNEWDATE,QNEW_ATE,QBLNCM1X,QBLN_M1X,QBLNCM2X,QBLN_M2X,QBLNCM3X,QBLN_M3X,LOAN_NOF,LOAN0NOF,VARRTE,VARRTE_,INTONLY,INTONLY_,OTHRTE,OTHRTE_,PAYMT1X,PAYMT1X_,PAYMT2X,PAYMT2X_,PAYMT3X,PAYMT3X_,PAYPRINI,PAYP_INI,PAYINT,PAYINT_,REFI,REFI_
20184,03992412,53,0,5,01,D,100,D,.0365,D,326100,D,30,D,2206,D,3,D,4,D,,A,,A,714,D,634,D,636,D,638,D,858,D,856,D,854,D,,A,03,D,2012,D,1,D,,A,282150,D,281516,D,280881,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20184,03992472,15,0,1,01,D,100,D,.0400,D,260000,D,30,D,1400,D,3,D,,A,5,D,,A,159,D,376,D,377,D,378,D,865,D,864,D,863,D,,A,08,D,2018,D,1,D,,A,259626,D,259250,D,258873,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20184,03992502,21,0,5,01,D,100,D,.0400,D,92000,D,30,D,673,D,,B,,B,,B,,B,234,D,144,D,144,D,145,D,295,D,295,D,294,D,,A,08,D,2016,D,1,D,,A,88556,D,88412,D,88268,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20184,03992552,52,0,5,01,D,100,D,.0425,D,370000,D,30,D,2470,D,3,D,4,D,5,D,,A,650,D,528,D,530,D,532,D,1292,D,1290,D,1288,D,,A,11,D,2017,D,1,D,,A,364822,D,364294,D,363764,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20184,03992612,19,0,1,01,D,100,D,.0469,D,200000,D,30,D,1100,D,3,D,4,D,,A,,A,64,D,380,D,382,D,383,D,656,D,654,D,653,D,,A,02,D,2010,D,1,D,,A,167822,D,167442,D,167061,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20184,03992642,14,0,5,01,D,100,D,.0400,D,66000,D,15,D,660,D,3,D,4,D,,A,,A,172,D,281,D,282,D,283,D,207,D,206,D,205,D,,A,07,D,2017,D,1,D,,A,62166,D,61885,D,61603,D,01,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20184,03992652,45,0,5,01,D,100,D,.0398,D,255454,D,15,D,1887,D,,A,,A,,A,,A,0,D,1302,D,1307,D,1311,D,585,D,580,D,576,D,,A,01,D,2013,D,1,D,,A,176290,D,174988,D,173681,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20184,03992722,18,0,5,01,D,100,D,.0400,D,268000,D,30,D,1800,D,3,D,4,D,5,D,,A,521,D,395,D,396,D,397,D,884,D,883,D,882,D,,A,02,D,2018,D,1,D,,A,265273,D,264878,D,264482,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20184,03992812,20,0,5,01,D,100,D,.0584,D,155644,D,15,D,1300,D,,A,,A,,A,,A,0,D,1209,D,1215,D,1220,D,91,D,85,D,80,D,,A,12,D,2004,D,1,D,,A,18760,D,17552,D,16337,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20184,03992852,14,0,5,01,D,100,D,.0700,D,64632,D,30,D,430,D,,A,,A,,A,,A,0,D,224,D,225,D,227,D,206,D,205,D,203,D,,A,01,D,1998,D,1,D,,A,35286,D,35062,D,34837,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
