QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MINAPPLY,MINA_PLY,GFTCMIN,GFTCMIN_,MIN_MO,MIN_MO_,MINPURX,MINPURX_,MINRENTX,MINR_NTX,MNAPPL1,MNAPPL1_,MNAPPL2,MNAPPL2_,MNAPPL3,MNAPPL3_,MNAPPL4,MNAPPL4_,MNAPPL5,MNAPPL5_,MNAPPL6,MNAPPL6_,MNAPPL7,MNAPPL7_,MNAPPL8,MNAPPL8_,MNAPPL9,MNAPPL9_,INSTLSCR,INST_SCR,INSTLLEX,INST_LEX,APBGRPON,APBPURCH,APBP_RCH
20181,03847981,4,0,1,660,D,3,D,11,D,900,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03847981,5,0,1,300,D,1,D,12,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03847981,6,0,1,320,D,1,D,12,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03847981,7,0,1,425,D,3,D,12,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,,,A
20181,03847981,8,0,1,440,D,1,D,12,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,,,A
20181,03847981,9,0,1,440,D,3,D,12,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,,,A
20181,03848131,1,0,1,640,D,1,D,01,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,,,A
20181,03848151,2,0,1,240,D,1,D,12,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848151,3,0,1,330,D,1,D,12,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848151,4,0,1,480,D,1,D,12,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848161,1,0,1,230,D,1,D,12,D,42,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848161,2,0,1,240,D,1,D,12,D,63,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848161,3,0,1,425,D,1,D,11,D,147,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,,,A
20181,03848171,1,0,1,300,D,1,D,01,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848171,2,0,1,365,D,1,D,12,D,152,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,,,A
20181,03848191,1,0,1,655,D,1,D,11,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848191,2,0,1,320,D,1,D,01,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848191,3,0,1,480,D,1,D,12,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848191,4,0,1,500,D,1,D,12,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848201,1,0,1,365,D,1,D,01,D,220,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,,,A
20181,03848281,1,0,1,365,D,1,D,12,D,1400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,,,A
20181,03848371,1,0,1,480,D,1,D,11,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848481,1,0,1,230,D,1,D,12,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848481,2,0,1,395,D,1,D,01,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,,,A
20181,03848521,1,0,1,365,D,3,D,12,D,232,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,,,A
20181,03848561,1,0,1,240,D,1,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848561,2,0,1,650,D,1,D,12,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848561,3,0,1,645,D,1,D,12,D,220,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848561,4,0,1,700,D,1,D,12,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848561,5,0,1,550,D,3,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848581,1,0,1,230,D,1,D,12,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848581,2,0,1,240,D,1,D,11,D,39,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848581,3,0,1,650,D,1,D,11,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848581,4,0,1,660,D,1,D,11,D,953,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848581,5,0,1,460,D,2,D,,A,,A,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848581,6,0,1,540,D,1,D,12,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848581,7,0,1,540,D,1,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848581,8,0,1,540,D,1,D,01,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03848721,1,0,1,260,D,1,D,12,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
