QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDPCARY,MEDP_ARY,MEDPGFTC,MEDP_FTC,MEDPMTMO,MEDP_TMO,MEDPMTX,MEDPMTX_,MEDPCY1,MEDPCY1_,MEDPCY2,MEDPCY2_,MEDPCY3,MEDPCY3_,MEDPCY4,MEDPCY4_,MEDPCY5,MEDPCY5_,MEDPCY6,MEDPCY6_,MEDPCY7,MEDPCY7_,MEDPCY8,MEDPCY8_,MEDPCY9,MEDPCY9_,MEDPPRNT,MEDP_RNT,MEDPNOUT,MEDP_OUT
20181,03641674,26,0,1,620,D,1,D,12,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641744,20,0,1,130,D,1,D,12,D,,H,120,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641744,20,1,1,120,D,1,D,12,D,112,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641744,20,2,1,110,D,1,D,12,D,38,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641744,21,0,1,200,D,1,D,11,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641744,22,0,1,200,D,1,D,12,D,260,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641854,23,0,1,420,D,1,D,11,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641854,24,0,1,620,D,1,D,11,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641874,77,0,1,120,D,1,D,11,D,97,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641874,78,0,1,200,D,1,D,10,D,4535,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641874,79,0,1,620,D,1,D,10,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641874,80,0,1,620,D,1,D,11,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641874,81,0,1,635,D,1,D,11,D,36,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,A
20181,03641914,16,0,1,530,D,1,D,12,D,338,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641934,17,0,1,200,D,1,D,11,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641934,18,0,1,510,D,1,D,12,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642024,6,0,2,620,D,1,D,10,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642034,11,0,2,420,D,1,D,10,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642054,16,0,1,620,D,1,D,13,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642064,15,0,1,620,D,1,D,13,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642104,25,0,1,620,D,1,D,12,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642104,26,0,1,620,D,1,D,13,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642174,14,0,1,330,D,1,D,10,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642194,10,0,1,420,D,1,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642204,12,0,1,420,D,1,D,11,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642204,13,0,1,410,D,1,D,10,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03642204,14,0,1,330,D,1,D,12,D,184,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642214,10,0,1,200,D,1,D,12,D,4535,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642214,11,0,1,620,D,2,D,12,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
