QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYD,CLOTHYD_,CLSVGFTC,CLSV_FTC,CLOTHMOD,CLOT_MOD,CLSRVCX,CLSRVCX_,CLOTHD1,CLOTHD1_,CLOTHD2,CLOTHD2_,CLOTHD3,CLOTHD3_,CLOTHD4,CLOTHD4_,CLOTHD5,CLOTHD5_,CLOTHD6,CLOTHD6_,CLOTHD7,CLOTHD7_,CLOTHD8,CLOTHD8_,CLOTHD9,CLOTHD9_
20181,03719343,2,0,2,470,D,1,D,11,D,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03719553,7,0,1,460,D,1,D,01,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03719693,7,0,2,470,D,1,D,11,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03720453,4,0,1,460,D,1,D,11,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03721144,9,0,1,450,D,1,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03721144,10,0,2,450,D,1,D,11,D,95,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03721683,4,0,1,500,D,1,D,12,D,,H,460,D,470,D,480,D,450,D,,A,,A,,A,,A,,A
20181,03721683,4,1,1,460,D,1,D,12,D,388,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03721683,4,2,1,470,D,1,D,12,D,102,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03721683,4,3,1,450,D,1,D,12,D,510,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03722113,15,0,1,450,D,1,D,11,D,32,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03722503,2,0,1,450,D,1,D,01,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03722533,22,0,1,450,D,1,D,01,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03722623,4,0,1,460,D,1,D,01,D,68,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03722673,2,0,2,450,D,1,D,11,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03723123,2,0,1,450,D,1,D,01,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03723403,8,0,2,470,D,1,D,11,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03734803,7,0,1,460,D,1,D,01,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03735293,3,0,1,470,D,1,D,02,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03736263,3,0,1,450,D,1,D,02,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03737853,2,0,1,450,D,1,D,01,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03737853,3,0,2,470,D,1,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03738353,7,0,1,470,D,1,D,12,D,8,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03738573,7,0,1,450,D,1,D,02,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03739053,1,0,1,470,D,1,D,12,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03739483,6,0,1,470,D,1,D,02,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03742043,1,0,1,470,D,1,D,02,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03742073,8,0,1,450,D,1,D,02,D,28,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03742943,3,0,1,450,D,1,D,12,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03742983,6,0,1,470,D,1,D,02,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03743063,6,0,1,450,D,1,D,02,D,29,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03743123,1,0,1,450,D,1,D,12,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03744123,5,0,1,450,D,1,D,02,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03744153,3,0,1,470,D,1,D,02,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03744543,3,0,1,450,D,1,D,02,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03755272,15,0,1,450,D,1,D,11,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03756172,12,0,1,480,D,1,D,12,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03756432,6,0,1,460,D,1,D,12,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03756962,3,0,1,450,D,1,D,11,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03757672,11,0,1,450,D,1,D,12,D,81,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03758562,10,0,1,450,D,1,D,10,D,9,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03758562,11,0,1,450,D,1,D,11,D,8,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03758562,12,0,1,450,D,1,D,12,D,9,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03758782,4,0,1,470,D,1,D,12,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03759022,3,0,1,480,D,1,D,12,D,191,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03759572,4,0,1,450,D,1,D,11,D,11,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03760122,4,0,1,500,D,1,D,12,D,,H,500,D,450,D,,A,,A,,A,,A,,A,,A,,A
20181,03760122,4,1,1,470,D,1,D,12,D,11,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03760472,19,0,1,470,D,1,D,11,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03761102,2,0,1,460,D,1,D,11,D,11,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
