QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MISCCODE,MISC_ODE,MISCMO,MISCMO_,MISCGFTC,MISC_FTC,MISCEXPX,MISC_XPX,MISCDE1,MISCDE1_,MISCDE2,MISCDE2_,MISCDE3,MISCDE3_,MISCDE4,MISCDE4_,MISCDE5,MISCDE5_,MISCDE6,MISCDE6_,MISCDE7,MISCDE7_,MISCDE8,MISCDE8_,MISCDE9,MISPURCH,MISCDE9_
20181,03664694,45,0,1,330,D,01,D,2,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664694,46,0,1,330,D,01,D,2,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664694,47,0,1,240,D,02,D,1,D,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664694,48,0,1,250,D,02,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664694,49,0,1,130,D,01,D,1,D,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664754,14,0,1,140,D,02,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664754,15,0,1,240,D,13,D,1,D,8,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20181,03664774,18,0,1,330,D,12,D,1,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664774,19,0,1,260,D,01,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664774,20,0,2,330,D,12,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664794,22,0,1,330,D,12,D,2,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664794,23,0,1,240,D,13,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664794,24,0,1,250,D,13,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03664804,15,0,1,360,D,01,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
