NEWID,TAX_UNIT,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND17,DEPU_D17,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC,AGE_TP,AGE_SP,DEPUND13,DEPU_D13,DEPUND18,DEPU_D18
03756004,1,2017,2016,2,.00000,.00000,1,-.4000,-.4000,10,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,1287,D,0,D,6000,D,0,D,0,D,2,D,3816,D,0,0,0,0,0,0,0,0,5041,5041,0,0,0,0,0,0,0,0,0,0,5041,5041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,D,2,D
03756064,1,2017,2016,0,.15300,.15300,2,.15000,.15000,31,D,.01750,.01750,26000,D,24000,D,0,D,0,D,0,D,0,D,16800,D,0,D,0,D,0,D,0,D,0,D,3458,717,3468,3448,717,717,7650,7650,50000,50000,50000,50000,0,0,0,0,0,0,0,0,50000,50000,0,0,3468,3448,3468,3448,0,0,0,0,0,0,0,0,0,0,0,47,0,0,D,0,D
03756114,1,2017,2016,0,.15300,.15300,1,.15000,.15000,18,D,.05800,.05800,20000,D,0,D,0,D,0,D,0,D,0,D,12480,D,0,D,0,D,0,D,0,D,1200,D,979,823,984,974,823,822,3060,3060,20000,20000,20000,20000,0,0,0,0,0,0,0,0,20000,20000,0,0,984,974,984,974,2460,2480,1200,1200,0,0,0,0,0,0,0,0,0,0,D,0,D
03756124,1,2017,2016,1,.15300,.15300,2,.10000,.10000,10,D,.00000,.00000,23753,D,18200,D,0,D,0,D,0,D,0,D,0,D,1200,D,0,D,0,D,0,D,0,D,1715,0,1720,1710,0,0,6419,6419,41953,41953,0,0,0,0,0,0,0,0,0,0,41953,41953,0,0,1720,1710,1720,1710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03756154,1,2017,2016,0,.15300,.15300,2,.07650,.07650,21,D,.08570,.08570,17116,D,0,D,0,D,0,D,0,D,0,D,0,D,2500,D,392,D,0,D,0,D,0,D,-260,136,-254,-266,140,133,2619,2619,17116,17116,17116,17116,0,0,0,0,0,0,254,266,17116,17116,0,0,0,0,0,0,3000,3000,0,0,0,0,0,0,127,133,0,72,0,0,D,0,D
03756164,1,2017,2016,0,.15300,.15300,1,-.0765,-.0765,07,D,-.0176,-.0210,480,D,0,D,0,D,4522,D,7536,D,0,D,0,D,4990,D,1359,D,0,D,0,D,27785,D,-37,-9,-37,-37,-10,-8,73,73,6049,6049,6049,6049,0,0,0,0,0,0,37,37,6049,6049,0,0,0,0,0,0,0,0,0,0,200,0,0,0,10,8,0,0,0,0,D,0,D
03756174,1,2017,2016,2,.15300,.15300,2,.23390,.23390,33,D,.06450,.06450,95000,D,64974,D,0,D,0,D,0,D,0,D,0,D,7500,D,0,D,480,D,2,D,12244,D,20475,8786,20551,20399,8611,8961,24476,24476,160974,160974,160974,160974,0,0,0,0,96,96,0,0,148730,148730,0,0,20647,20495,20647,20495,15950,16050,19744,19744,0,0,19,19,0,0,0,0,0,2,D,2,D
03756194,1,2017,2016,0,.07620,.07620,2,.26220,.26220,31,D,.06370,.06370,130000,D,79800,D,0,D,0,D,0,D,0,D,0,D,12000,D,313,D,0,D,0,D,16304,D,33004,8557,33054,32953,8557,8557,30673,31752,209805,209805,209800,209800,0,0,0,0,0,0,0,0,193501,193501,0,0,33054,32953,33054,32953,0,0,0,0,0,0,0,0,0,0,0,38,0,0,D,0,D
03756244,1,2017,2016,0,.00000,.00000,1,-.0765,-.0765,33,D,.00000,.00000,0,D,0,D,0,D,8127,D,19920,D,0,D,43796,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,8955,8955,8955,8955,0,0,0,0,0,0,0,0,8955,8955,0,0,0,0,0,0,7950,8000,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03756264,1,2017,2016,0,.15300,.15300,2,.15000,.15000,36,D,.03310,.03310,33944,D,32747,D,0,D,0,D,0,D,0,D,0,D,2500,D,0,D,0,D,0,D,3220,D,5961,1441,5971,5951,1446,1436,10204,10204,66691,66691,66691,66691,0,0,0,0,0,0,0,0,66691,66691,0,0,5971,5951,5971,5951,0,0,0,0,0,0,0,0,0,0,0,54,0,0,D,0,D
